,key,city,country,population,latitude,longitude
304,4160021,Jacksonville,US,868031,30.33218,-81.65565
305,4132093,Springdale,US,77859,36.18674,-94.12881
306,5101798,Newark,US,281944,40.73566,-74.17237
307,4148411,Boca Raton,US,93235,26.35869,-80.0831
308,4148533,Bonita Springs,US,51704,26.33981,-81.7787
309,4148677,Boynton Beach,US,73966,26.52535,-80.06643
310,4148708,Bradenton,US,54437,27.49893,-82.57482
311,4676740,Brownsville,US,183887,25.90175,-97.49748
312,4151871,Coral Gables,US,51117,25.72149,-80.26838
313,4152872,Daytona Beach,US,64736,29.21081,-81.02283
314,4153132,Delray Beach,US,66255,26.46146,-80.07282
315,4153471,Doral,US,56035,25.81954,-80.35533
316,4155966,Fort Lauderdale,US,178590,26.12231,-80.14338
317,4155995,Fort Myers,US,74013,26.62168,-81.84059
318,4156018,Fort Pierce,US,44484,27.44671,-80.32561
319,4156404,Gainesville,US,130128,29.65163,-82.32483
320,4157898,Hallandale Beach,US,39488,25.9812,-80.14838
321,5357527,Hollywood,US,167664,34.09834,-118.32674
322,5357527,Hollywood,US,167664,34.09834,-118.32674
323,4160610,Jupiter,US,62707,26.93422,-80.09421
324,4160812,Key West,US,25755,24.55524,-81.78163
325,4160983,Kissimmee,US,69152,28.30468,-81.41667
326,4161438,Lakeland,US,104401,28.03947,-81.9498
327,4769125,Leesburg,US,51209,39.11566,-77.5636
328,4164138,Miami,US,441003,25.77427,-80.19366
329,4164138,Miami,US,441003,25.77427,-80.19366
330,4164138,Miami,US,441003,25.77427,-80.19366
331,4164138,Miami,US,441003,25.77427,-80.19366
332,4164143,Miami Beach,US,92312,25.79065,-80.13005
333,4166232,North Miami,US,62435,25.89009,-80.18671
334,4166233,North Miami Beach,US,43971,25.93315,-80.16255
335,4167147,Orlando,US,270934,28.53834,-81.37924
336,4167519,Palm Beach Gardens,US,52923,26.82339,-80.13865
337,5380668,Palm Springs,US,47371,33.8303,-116.54529
338,5380668,Palm Springs,US,47371,33.8303,-116.54529
339,4168228,Pensacola,US,53193,30.42131,-87.21691
340,4168659,Pinewood,US,16520,25.86898,-80.21699
341,4168773,Plant City,US,37406,28.01888,-82.11469
342,5102922,Princeton,US,29603,40.34872,-74.65905
343,4171563,St. Petersburg,US,257083,27.77086,-82.67927
344,4172131,Sarasota,US,55118,27.33643,-82.53065
345,4172434,Seminole,US,18153,27.83975,-82.79121
346,4174715,Tallahassee,US,189907,30.43826,-84.28073
347,4174738,Tamarac,US,64681,26.21286,-80.24977
348,4174757,Tampa,US,369075,27.94752,-82.45843
349,4176409,Vero Beach,US,16358,27.63864,-80.39727
350,4177887,West Palm Beach,US,106779,26.71534,-80.05337
351,4177965,Westchester,US,29862,25.75482,-80.32727
352,4178560,Winter Park,US,29943,28.6,-81.33924
353,4179574,Alpharetta,US,63693,34.07538,-84.29409
354,4180439,Atlanta,US,463878,33.749,-84.38798
355,4987990,Canton,US,86825,42.30865,-83.48216
356,4679195,Carrollton,US,133168,32.95373,-96.89028
357,4509177,Columbus,US,850106,39.96118,-82.99879
358,5024719,Duluth,US,86110,46.78327,-92.10658
359,4205196,Lawrenceville,US,30493,33.95621,-83.98796
360,4221552,Savannah,US,145674,32.08354,-81.09983
361,4228147,Valdosta,US,55724,30.83334,-83.28032
362,4244099,Mattoon,US,18113,39.48309,-88.37283
363,4409896,Springfield,US,166810,37.21533,-93.29824
364,5018739,Bloomington,US,86435,44.8408,-93.29828
365,4257227,Evansville,US,119943,37.97476,-87.55585
366,4259418,Indianapolis,US,829718,39.76838,-86.15804
367,5102720,Plainfield,US,51217,40.63371,-74.40737
368,4393217,Kansas City,US,475378,39.09973,-94.57857
369,5125771,Manhattan,US,1487536,40.78343,-73.96625
370,5341531,Danville,US,44400,37.82159,-121.99996
371,5505411,Henderson,US,285667,36.0397,-114.98194
372,4299276,Louisville,US,243639,38.25424,-85.75941
373,4315588,Baton Rouge,US,228590,30.44332,-91.18747
374,4317639,Bossier City,US,68094,32.51599,-93.73212
375,4921100,Hammond,US,77614,41.58337,-87.50004
376,4330145,Lafayette,US,127657,30.22409,-92.01984
377,4333669,Monroe,US,49598,32.50931,-92.1193
378,4333669,Monroe,US,49598,32.50931,-92.1193
379,4333669,Monroe,US,49598,32.50931,-92.1193
380,4333669,Monroe,US,49598,32.50931,-92.1193
381,4335045,New Orleans,US,389617,29.95465,-90.07507
382,4341513,Shreveport,US,197204,32.52515,-93.75018
383,4347242,Annapolis,US,39474,38.97845,-76.49218
