key,city,country,population,latitude,longitude,clusters
1275339,Mumbai,IN,12691836,19.07283,72.88261,-1
1276686,Baud,IN,18945,20.83773,84.32618000000001,-1
6954929,Greater Noida,IN,293908,28.49615,77.53601,22
112931,Tehran,IR,7153309,35.694390000000006,51.42151,-1
3169070,Rome,IT,2318895,41.89193,12.511330000000001,23
3172394,Naples,IT,959470,40.85216,14.26811,23
3176959,Florence,IT,349296,43.77925,11.246260000000001,23
3489297,New Kingston,JM,583958,18.00747,-76.78319,4
1848354,Yokohama,JP,3574443,35.43333,139.65,24
1850147,Tokyo,JP,8336599,35.6895,139.69171,24
1859171,Kobe,JP,1528478,34.6913,135.183,-1
2112923,Fukushima,JP,294237,37.75,140.46667,24
186315,Molo,KE,27896,-0.24849000000000002,35.73194,-1
1821306,Phnom Penh,KH,1573544,11.56245,104.91601000000001,21
1831133,Kampong Speu,KH,33231,11.45332,104.52085,21
1831173,Kampong Cham,KH,61750,11.99339,105.4635,21
1871859,Pyongyang,KP,3222000,39.03385,125.75431999999999,-1
1835848,Seoul,KR,10349312,37.566,126.9784,-1
4469160,Greenville,US,90597,35.61266,-77.36635,4
4469160,Greenville,US,90597,35.61266,-77.36635,4
2530335,Tangier,MA,688356,35.76727,-5.79975,-1
2113779,Majuro,MH,25400,7.08971,171.38027,-1
1298824,Yangon,MM,4477638,16.80528,96.15611,25
1311874,Mandalay,MM,1208099,21.974729999999997,96.08359,25
1325211,Hinthada,MM,134947,17.64944,95.45705,25
3514783,Veracruz,MX,428323,19.18095,-96.1429,4
3520339,Reynosa,MX,589466,26.08061,-98.28835,4
3522507,Oaxaca,MX,255029,17.06542,-96.72365,4
3522551,Nuevo Laredo,MX,373725,27.476290000000002,-99.51639,4
3530597,Mexico City,MX,12294193,19.42847,-99.12765999999999,4
3996069,Mexicali,MX,689775,32.62781,-115.45446000000001,3
109223,Medina,SA,1300000,24.46861,39.61417,-1
5369568,Madera,US,64208,36.96134,-120.06071999999999,3
4022735,Hidalgo,MX,16524,25.97205,-100.45029,4
1732752,Johor Bahru,MY,802489,1.4655,103.7578,21
1732905,Klang,MY,879867,3.03667,101.44333,21
1733432,Kota Kinabalu,MY,457326,5.9749,116.0724,-1
1735158,Petaling Jaya,MY,520698,3.1072599999999997,101.60670999999999,21
1735161,Kuala Lumpur,MY,1453975,3.1412,101.68653,21
1735634,Kuching,MY,570407,1.55,110.33333,-1
1735902,Sibu,MY,198239,2.3,111.81667,-1
1738050,Miri,MY,228212,4.39928,113.99163,-1
2332459,Lagos,NG,9000000,6.45407,3.3946699999999996,26
2339354,Ibadan,NG,3565108,7.377560000000001,3.90591,26
2339354,Ibadan,NG,3565108,7.377560000000001,3.90591,26
2352778,Abuja,NG,590400,9.05785,7.495080000000001,-1
3617723,Masaya,NI,130113,11.97444,-86.09416999999999,4
3617763,Managua,NI,973087,12.132819999999999,-86.2504,4
2747891,Rotterdam,NL,598199,51.9225,4.47917,-1
